timestamp,ping,download,upload
1615666406888.908,44.73,16.05,2.46
1615666463853.618,55.08,22.18,9.26
1615666525131.723,42.47,23.15,8.83
1615666584795.267,47.23,23.69,7.82
1615666646675.681,44.26,22.93,9.08
1615666710638.602,43.71,16.21,4.94
1615666763327.63,46.68,20.98,8.76
1615666832791.515,42.46,16.91,3.45
1615666887901.944,40.4,1.79,3.51
1615666945264.138,49.13,22.34,9.18
1615667004450.763,51.42,19.53,8.65
1615667066747.996,49.67,18.4,8.1
1615667124108.796,45.4,23.79,8.73
1615667184838.408,48.34,19.57,8.41
1615667245716.681,44.35,25.49,7.67
1615667303810.896,47.28,22.78,8.83
1615667363983.404,38.13,21.49,8.66
1615667403561.026,0,0,0
1615667483363.82,41.18,24.09,9.02
1615667553749.195,45.87,11.83,2.48
1615667610259.703,42.2,7.65,3.85
1615667674678.904,37.09,24.04,9.38
1615667724177.838,47.52,22.01,8.95
1615667788035.374,39.36,16.45,9.52
1615667863152.289,37.47,21.98,9.4
1615667906010.519,36.24,18.26,9.56
1615667964764.304,47.65,20.71,8.65
1615668025576.135,47.46,22.64,7.65
1615668086134.087,35.16,18.8,9.02
1615668144322.691,46.71,25.2,9.17
1615668204149.209,46.69,19.48,8.85
1615668265097.277,46.73,18.23,8.6
1615668326436.187,41.62,19.55,2.49
1615668393420.266,41.66,25.93,8.95
1615668444048.345,35.57,20.75,8.87
1615668503921.948,55.65,21.13,7.91
1615668564745.505,43.62,19.82,8.76
1615668624963.203,35.86,24.15,7.86
1615668684266.297,49.21,22.93,9.24
1615668746792.083,37.56,20.81,8.79
1615668804132.618,47.95,24.06,8.91
1615668864341.22,44.9,19.94,9.17
1615668923983.456,42.54,23.57,9.12
1615668984223.94,47.7,24.12,9.28
1615669044442.194,38.68,21.31,9.14
1615669106676.984,41.29,11.79,5.78
1615669164343.063,46.5,18.04,8.34
1615669203828.385,0,0,0
1615669284959.233,35.61,23.14,8.99
1615669343750.867,45.87,25.22,8.83
1615669403881.157,40.33,19.23,8.69
1615669465208.137,36.88,25.46,8.07
1615669524207.903,45.19,24.0,9.15
1615669590243.464,36.9,23.76,6.51
1615669648803.458,36.16,17.04,6.82
1615669705985.385,40.48,24.48,6.25
1615669763864.904,40.5,23.57,8.58
1615669824547.725,47.59,25.62,8.19
1615669884125.594,48.15,19.19,9.05
1615669953115.042,41.76,16.08,3.16
1615670009027.977,44.09,13.93,9.07
1615670064239.772,46.96,20.48,9.56
1615670124181.836,47.21,22.89,8.8
1615670198252.722,43.38,11.51,4.55
1615670244106.362,48.76,22.96,9.08
1615670304772.862,45.34,23.54,8.53
1615670367897.819,35.07,21.06,6.49
1615670424434.561,47.73,21.03,8.79
1615670485478.681,39.65,24.65,8.22
1615670545611.813,34.85,20.4,8.12
1615670604297.815,47.12,22.88,9.3
1615670664573.5,45.46,26.23,9.08
1615670728102.583,35.82,24.03,6.27
1615670784213.641,45.01,22.75,9.33
1615670852407.685,39.81,11.32,9.0
1615670916572.242,41.77,24.14,7.14
1615670963945.587,45.91,20.97,8.82
1615671004198.716,0,0,0
1615671084273.636,52.16,26.42,8.51
1615671144196.934,35.35,25.34,9.31
1615671205945.665,38.88,17.49,8.6
1615671265947.485,34.63,17.61,8.89
1615671325000.697,36.27,22.95,9.42
1615671393096.076,35.16,22.46,4.97
1615671444212.285,45.62,23.9,8.85
1615671504388.842,35.1,24.66,8.82
1615671565006.133,41.69,21.27,8.49
1615671623997.55,35.11,21.55,9.11
1615671695528.002,42.5,12.55,4.1
1615671744293.114,43.19,23.3,8.52
1615671808241.619,43.15,2.08,3.91
1615671864610.496,46.53,20.95,8.64
1615671925239.137,45.84,21.92,8.81
1615671983950.104,40.17,22.66,8.36
1615672044782.801,47.7,20.61,8.49
1615672104833.17,45.11,21.62,8.71
1615672171986.581,52.86,19.22,4.09
1615672224207.959,47.42,21.78,9.14
1615672284138.675,44.31,21.21,8.53
1615672344278.301,44.37,22.11,8.62
1615672405996.398,49.63,19.75,7.42
1615672464400.604,44.9,16.72,8.61
1615672524495.466,43.93,22.5,8.91
1615672584596.178,39.3,21.4,9.24
1615672653942.785,45.5,10.73,4.3
1615672704734.812,48.95,19.09,8.39
1615672764258.932,46.94,21.58,8.77
1615672804215.68,0,0,0
1615672883872.755,35.26,23.88,8.01
1615672944270.564,40.06,24.84,8.57
1615673004232.236,33.49,24.39,8.5
1615673064633.537,36.52,25.18,8.83
1615673124370.001,40.31,17.99,8.91
1615673195439.015,43.68,16.67,5.16
1615673244287.641,39.44,25.43,9.05
1615673304481.857,45.29,22.7,9.27
1615673365251.076,46.11,22.83,9.11
1615673426792.337,41.86,22.48,9.08
